OBJECTID,ASSETID,CONDITION,TYPE,Roadname,SECTIONID,Length (ft),Length (mi),BACKIMAGE,VIEWER,IntVIEWER
6305,SW6338,FAIR,CONCRETE,E 3rd ST,q4512,220.07,0.042,http://98.103.168.235/Bloomington/120417/5/Back/ladybug_panoramic_002699.jpg,http://98.103.168.235/serve/viewercurrent/viewer.html#/Bloomington/Back/date/120417/truck/0/session/5/image/2699,http://192.168.1.200/serve/viewercurrent/viewerInside.html#/Bloomington/Back/date/120417/truck/0/session/5/image/2699
2200,SW2202,GOOD,CONCRETE,E 3rd ST,q4513,40.91,0.008,http://98.103.168.235/Bloomington/120417/5/Back/ladybug_panoramic_002720.jpg,http://98.103.168.235/serve/viewercurrent/viewer.html#/Bloomington/Back/date/120417/truck/0/session/5/image/2720,http://192.168.1.200/serve/viewercurrent/viewerInside.html#/Bloomington/Back/date/120417/truck/0/session/5/image/2720
2201,SW2203,GOOD,CONCRETE,E 3rd ST,q4513,229.5,0.043,http://98.103.168.235/Bloomington/120717/4/Back/ladybug_panoramic_003664.jpg,http://98.103.168.235/serve/viewercurrent/viewer.html#/Bloomington/Back/date/120717/truck/0/session/4/image/3664,http://192.168.1.200/serve/viewercurrent/viewerInside.html#/Bloomington/Back/date/120717/truck/0/session/4/image/3664
2162,SW2164,FAIR,CONCRETE,E 3rd ST,q4513,303.76,0.058,http://98.103.168.235/Bloomington/120417/5/Back/ladybug_panoramic_003380.jpg,http://98.103.168.235/serve/viewercurrent/viewer.html#/Bloomington/Back/date/120417/truck/0/session/5/image/3380,http://192.168.1.200/serve/viewercurrent/viewerInside.html#/Bloomington/Back/date/120417/truck/0/session/5/image/3380
6303,SW6336,GOOD,CONCRETE,E 3rd ST,q4514,172.55,0.033,http://98.103.168.235/Bloomington/120817/2/Back/ladybug_panoramic_000544.jpg,http://98.103.168.235/serve/viewercurrent/viewer.html#/Bloomington/Back/date/120817/truck/0/session/2/image/544,http://192.168.1.200/serve/viewercurrent/viewerInside.html#/Bloomington/Back/date/120817/truck/0/session/2/image/544
6302,SW6335,FAIR,CONCRETE,E 3rd ST,q4514,161.08,0.031,http://98.103.168.235/Bloomington/120717/4/Back/ladybug_panoramic_002177.jpg,http://98.103.168.235/serve/viewercurrent/viewer.html#/Bloomington/Back/date/120717/truck/0/session/4/image/2177,http://192.168.1.200/serve/viewercurrent/viewerInside.html#/Bloomington/Back/date/120717/truck/0/session/4/image/2177
2160,SW2162,FAIR,CONCRETE,E 3rd ST,q4515,292.24,0.055,http://98.103.168.235/Bloomington/120417/5/Back/ladybug_panoramic_003099.jpg,http://98.103.168.235/serve/viewercurrent/viewer.html#/Bloomington/Back/date/120417/truck/0/session/5/image/3099,http://192.168.1.200/serve/viewercurrent/viewerInside.html#/Bloomington/Back/date/120417/truck/0/session/5/image/3099
2203,SW2205,FAIR,CONCRETE,E 3rd ST,q4515,307.43,0.058,http://98.103.168.235/Bloomington/120417/5/Back/ladybug_panoramic_002778.jpg,http://98.103.168.235/serve/viewercurrent/viewer.html#/Bloomington/Back/date/120417/truck/0/session/5/image/2778,http://192.168.1.200/serve/viewercurrent/viewerInside.html#/Bloomington/Back/date/120417/truck/0/session/5/image/2778
2158,SW2160,GOOD,CONCRETE,E 3rd ST,q4516,88.15,0.017,http://98.103.168.235/Bloomington/120417/5/Back/ladybug_panoramic_003077.jpg,http://98.103.168.235/serve/viewercurrent/viewer.html#/Bloomington/Back/date/120417/truck/0/session/5/image/3077,http://192.168.1.200/serve/viewercurrent/viewerInside.html#/Bloomington/Back/date/120417/truck/0/session/5/image/3077
2159,SW2161,GOOD,CONCRETE,E 3rd ST,q4516,214.51,0.041,http://98.103.168.235/Bloomington/120417/5/Back/ladybug_panoramic_003090.jpg,http://98.103.168.235/serve/viewercurrent/viewer.html#/Bloomington/Back/date/120417/truck/0/session/5/image/3090,http://192.168.1.200/serve/viewercurrent/viewerInside.html#/Bloomington/Back/date/120417/truck/0/session/5/image/3090
2204,SW2206,GOOD,CONCRETE,E 3rd ST,q4516,312.71,0.059,http://98.103.168.235/Bloomington/120417/5/Back/ladybug_panoramic_002808.jpg,http://98.103.168.235/serve/viewercurrent/viewer.html#/Bloomington/Back/date/120417/truck/0/session/5/image/2808,http://192.168.1.200/serve/viewercurrent/viewerInside.html#/Bloomington/Back/date/120417/truck/0/session/5/image/2808
2157,SW2159,GOOD,CONCRETE,E 3rd ST,q4517,309.83,0.059,http://98.103.168.235/Bloomington/120417/5/Back/ladybug_panoramic_003056.jpg,http://98.103.168.235/serve/viewercurrent/viewer.html#/Bloomington/Back/date/120417/truck/0/session/5/image/3056,http://192.168.1.200/serve/viewercurrent/viewerInside.html#/Bloomington/Back/date/120417/truck/0/session/5/image/3056
2205,SW2207,GOOD,CONCRETE,E 3rd ST,q4517,294.8,0.056,http://98.103.168.235/Bloomington/120717/5/Back/ladybug_panoramic_000238.jpg,http://98.103.168.235/serve/viewercurrent/viewer.html#/Bloomington/Back/date/120717/truck/0/session/5/image/238,http://192.168.1.200/serve/viewercurrent/viewerInside.html#/Bloomington/Back/date/120717/truck/0/session/5/image/238
2202,SW2204,GOOD,CONCRETE,E 3rd ST,q4539,220.47,0.042,http://98.103.168.235/Bloomington/120417/5/Back/ladybug_panoramic_002748.jpg,http://98.103.168.235/serve/viewercurrent/viewer.html#/Bloomington/Back/date/120417/truck/0/session/5/image/2748,http://192.168.1.200/serve/viewercurrent/viewerInside.html#/Bloomington/Back/date/120417/truck/0/session/5/image/2748
2161,SW2163,FAIR,CONCRETE,E 3rd ST,q4539,274.11,0.052,http://98.103.168.235/Bloomington/121317/1/Back/ladybug_panoramic_001081.jpg,http://98.103.168.235/serve/viewercurrent/viewer.html#/Bloomington/Back/date/121317/truck/0/session/1/image/1081,http://192.168.1.200/serve/viewercurrent/viewerInside.html#/Bloomington/Back/date/121317/truck/0/session/1/image/1081
2164,SW2166,GOOD,CONCRETE,E 3rd ST,r4522,886.01,0.168,http://98.103.168.235/Bloomington/120717/4/Back/ladybug_panoramic_003906.jpg,http://98.103.168.235/serve/viewercurrent/viewer.html#/Bloomington/Back/date/120717/truck/0/session/4/image/3906,http://192.168.1.200/serve/viewercurrent/viewerInside.html#/Bloomington/Back/date/120717/truck/0/session/4/image/3906
2198,SW2200,FAIR,CONCRETE,E 3rd ST,r4522,928.58,0.176,http://98.103.168.235/Bloomington/121217/2/Back/ladybug_panoramic_002858.jpg,http://98.103.168.235/serve/viewercurrent/viewer.html#/Bloomington/Back/date/121217/truck/0/session/2/image/2858,http://192.168.1.200/serve/viewercurrent/viewerInside.html#/Bloomington/Back/date/121217/truck/0/session/2/image/2858
2165,SW2167,GOOD,CONCRETE,E 3rd ST,r4523,133.36,0.025,http://98.103.168.235/Bloomington/120417/5/Back/ladybug_panoramic_003292.jpg,http://98.103.168.235/serve/viewercurrent/viewer.html#/Bloomington/Back/date/120417/truck/0/session/5/image/3292,http://192.168.1.200/serve/viewercurrent/viewerInside.html#/Bloomington/Back/date/120417/truck/0/session/5/image/3292
2166,SW2168,GOOD,CONCRETE,E 3rd ST,r4523,88.9,0.017,http://98.103.168.235/Bloomington/120417/5/Back/ladybug_panoramic_003284.jpg,http://98.103.168.235/serve/viewercurrent/viewer.html#/Bloomington/Back/date/120417/truck/0/session/5/image/3284,http://192.168.1.200/serve/viewercurrent/viewerInside.html#/Bloomington/Back/date/120417/truck/0/session/5/image/3284
2167,SW2169,GOOD,CONCRETE,E 3rd ST,r4523,126.07,0.024,http://98.103.168.235/Bloomington/120417/5/Back/ladybug_panoramic_003279.jpg,http://98.103.168.235/serve/viewercurrent/viewer.html#/Bloomington/Back/date/120417/truck/0/session/5/image/3279,http://192.168.1.200/serve/viewercurrent/viewerInside.html#/Bloomington/Back/date/120417/truck/0/session/5/image/3279
6307,SW6340,GOOD,CONCRETE,E 3rd ST,r4523,130.79,0.025,http://98.103.168.235/Bloomington/120417/5/Back/ladybug_panoramic_002614.jpg,http://98.103.168.235/serve/viewercurrent/viewer.html#/Bloomington/Back/date/120417/truck/0/session/5/image/2614,http://192.168.1.200/serve/viewercurrent/viewerInside.html#/Bloomington/Back/date/120417/truck/0/session/5/image/2614
6306,SW6339,FAIR,CONCRETE,E 3rd ST,r4523,245.85,0.047,http://98.103.168.235/Bloomington/121217/2/Back/ladybug_panoramic_000152.jpg,http://98.103.168.235/serve/viewercurrent/viewer.html#/Bloomington/Back/date/121217/truck/0/session/2/image/152,http://192.168.1.200/serve/viewercurrent/viewerInside.html#/Bloomington/Back/date/121217/truck/0/session/2/image/152
2197,SW2199,GOOD,PAVER,E 3rd ST,r4523,65.89,0.012,http://98.103.168.235/Bloomington/120417/5/Back/ladybug_panoramic_002621.jpg,http://98.103.168.235/serve/viewercurrent/viewer.html#/Bloomington/Back/date/120417/truck/0/session/5/image/2621,http://192.168.1.200/serve/viewercurrent/viewerInside.html#/Bloomington/Back/date/120417/truck/0/session/5/image/2621
2168,SW2170,GOOD,CONCRETE,E 3rd ST,r4524,235.86,0.045,http://98.103.168.235/Bloomington/120417/5/Back/ladybug_panoramic_003260.jpg,http://98.103.168.235/serve/viewercurrent/viewer.html#/Bloomington/Back/date/120417/truck/0/session/5/image/3260,http://192.168.1.200/serve/viewercurrent/viewerInside.html#/Bloomington/Back/date/120417/truck/0/session/5/image/3260
2196,SW2198,GOOD,CONCRETE,E 3rd ST,r4524,250.25,0.047,http://98.103.168.235/Bloomington/120417/5/Back/ladybug_panoramic_002599.jpg,http://98.103.168.235/serve/viewercurrent/viewer.html#/Bloomington/Back/date/120417/truck/0/session/5/image/2599,http://192.168.1.200/serve/viewercurrent/viewerInside.html#/Bloomington/Back/date/120417/truck/0/session/5/image/2599
2195,SW2197,GOOD,CONCRETE,E 3rd ST,r4526,208.55,0.039,http://98.103.168.235/Bloomington/120417/5/Back/ladybug_panoramic_002593.jpg,http://98.103.168.235/serve/viewercurrent/viewer.html#/Bloomington/Back/date/120417/truck/0/session/5/image/2593,http://192.168.1.200/serve/viewercurrent/viewerInside.html#/Bloomington/Back/date/120417/truck/0/session/5/image/2593
2169,SW2171,FAIR,CONCRETE,E 3rd ST,r4526,231.07,0.044,http://98.103.168.235/Bloomington/120417/5/Back/ladybug_panoramic_003251.jpg,http://98.103.168.235/serve/viewercurrent/viewer.html#/Bloomington/Back/date/120417/truck/0/session/5/image/3251,http://192.168.1.200/serve/viewercurrent/viewerInside.html#/Bloomington/Back/date/120417/truck/0/session/5/image/3251
2170,SW2172,GOOD,CONCRETE,E 3rd ST,r4527,356.5,0.068,http://98.103.168.235/Bloomington/120417/5/Back/ladybug_panoramic_003223.jpg,http://98.103.168.235/serve/viewercurrent/viewer.html#/Bloomington/Back/date/120417/truck/0/session/5/image/3223,http://192.168.1.200/serve/viewercurrent/viewerInside.html#/Bloomington/Back/date/120417/truck/0/session/5/image/3223
2194,SW2196,GOOD,CONCRETE,E 3rd ST,r4527,453.74,0.086,http://98.103.168.235/Bloomington/121217/2/Back/ladybug_panoramic_003700.jpg,http://98.103.168.235/serve/viewercurrent/viewer.html#/Bloomington/Back/date/121217/truck/0/session/2/image/3700,http://192.168.1.200/serve/viewercurrent/viewerInside.html#/Bloomington/Back/date/121217/truck/0/session/2/image/3700
2193,SW2195,GOOD,BRICK,E 3rd ST,r4528,49.44,0.009,http://98.103.168.235/Bloomington/121217/2/Back/ladybug_panoramic_003698.jpg,http://98.103.168.235/serve/viewercurrent/viewer.html#/Bloomington/Back/date/121217/truck/0/session/2/image/3698,http://192.168.1.200/serve/viewercurrent/viewerInside.html#/Bloomington/Back/date/121217/truck/0/session/2/image/3698
2171,SW2173,GOOD,CONCRETE,E 3rd ST,r4528,172.1,0.033,http://98.103.168.235/Bloomington/120417/5/Back/ladybug_panoramic_003205.jpg,http://98.103.168.235/serve/viewercurrent/viewer.html#/Bloomington/Back/date/120417/truck/0/session/5/image/3205,http://192.168.1.200/serve/viewercurrent/viewerInside.html#/Bloomington/Back/date/120417/truck/0/session/5/image/3205
2172,SW2174,GOOD,CONCRETE,E 3rd ST,r4528,131.35,0.025,http://98.103.168.235/Bloomington/120417/5/Back/ladybug_panoramic_003199.jpg,http://98.103.168.235/serve/viewercurrent/viewer.html#/Bloomington/Back/date/120417/truck/0/session/5/image/3199,http://192.168.1.200/serve/viewercurrent/viewerInside.html#/Bloomington/Back/date/120417/truck/0/session/5/image/3199
2192,SW2194,GOOD,CONCRETE,E 3rd ST,r4528,224.42,0.043,http://98.103.168.235/Bloomington/120417/5/Back/ladybug_panoramic_002537.jpg,http://98.103.168.235/serve/viewercurrent/viewer.html#/Bloomington/Back/date/120417/truck/0/session/5/image/2537,http://192.168.1.200/serve/viewercurrent/viewerInside.html#/Bloomington/Back/date/120417/truck/0/session/5/image/2537
2173,SW2175,GOOD,CONCRETE,E 3rd ST,r4530,33.43,0.006,http://98.103.168.235/Bloomington/120417/5/Back/ladybug_panoramic_003189.jpg,http://98.103.168.235/serve/viewercurrent/viewer.html#/Bloomington/Back/date/120417/truck/0/session/5/image/3189,http://192.168.1.200/serve/viewercurrent/viewerInside.html#/Bloomington/Back/date/120417/truck/0/session/5/image/3189
2174,SW2176,GOOD,CONCRETE,E 3rd ST,r4530,53.69,0.01,http://98.103.168.235/Bloomington/120417/5/Back/ladybug_panoramic_003185.jpg,http://98.103.168.235/serve/viewercurrent/viewer.html#/Bloomington/Back/date/120417/truck/0/session/5/image/3185,http://192.168.1.200/serve/viewercurrent/viewerInside.html#/Bloomington/Back/date/120417/truck/0/session/5/image/3185
2175,SW2177,GOOD,CONCRETE,E 3rd ST,r4530,149.86,0.028,http://98.103.168.235/Bloomington/120417/5/Back/ladybug_panoramic_003181.jpg,http://98.103.168.235/serve/viewercurrent/viewer.html#/Bloomington/Back/date/120417/truck/0/session/5/image/3181,http://192.168.1.200/serve/viewercurrent/viewerInside.html#/Bloomington/Back/date/120417/truck/0/session/5/image/3181
6313,SW6346,GOOD,CONCRETE,E 3rd ST,r4530,299.08,0.057,http://98.103.168.235/Bloomington/120417/5/Back/ladybug_panoramic_002520.jpg,http://98.103.168.235/serve/viewercurrent/viewer.html#/Bloomington/Back/date/120417/truck/0/session/5/image/2520,http://192.168.1.200/serve/viewercurrent/viewerInside.html#/Bloomington/Back/date/120417/truck/0/session/5/image/2520
