OBJECTID,ASSETID,CONDITION,TYPE,Roadname,SECTIONID,Length (ft),Length (mi),BACKIMAGE,VIEWER,IntVIEWER
4296,SW4303,GOOD,CONCRETE,E 10th ST,q4664,100.9,0.019,http://98.103.168.235/Bloomington/120317/3/Back/ladybug_panoramic_001147.jpg,http://98.103.168.235/serve/viewercurrent/viewer.html#/Bloomington/Back/date/120317/truck/0/session/3/image/1147,http://192.168.1.200/serve/viewercurrent/viewerInside.html#/Bloomington/Back/date/120317/truck/0/session/3/image/1147
4297,SW4304,GOOD,CONCRETE,E 10th ST,q4664,7.29,0.001,http://98.103.168.235/Bloomington/120317/3/Back/ladybug_panoramic_001150.jpg,http://98.103.168.235/serve/viewercurrent/viewer.html#/Bloomington/Back/date/120317/truck/0/session/3/image/1150,http://192.168.1.200/serve/viewercurrent/viewerInside.html#/Bloomington/Back/date/120317/truck/0/session/3/image/1150
5368,SW5377,GOOD,CONCRETE,E 10th ST,q4664,141.15,0.027,http://98.103.168.235/Bloomington/120517/6/Back/ladybug_panoramic_002713.jpg,http://98.103.168.235/serve/viewercurrent/viewer.html#/Bloomington/Back/date/120517/truck/0/session/6/image/2713,http://192.168.1.200/serve/viewercurrent/viewerInside.html#/Bloomington/Back/date/120517/truck/0/session/6/image/2713
5369,SW5378,GOOD,CONCRETE,E 10th ST,q4664,147.79,0.028,http://98.103.168.235/Bloomington/120517/6/Back/ladybug_panoramic_002723.jpg,http://98.103.168.235/serve/viewercurrent/viewer.html#/Bloomington/Back/date/120517/truck/0/session/6/image/2723,http://192.168.1.200/serve/viewercurrent/viewerInside.html#/Bloomington/Back/date/120517/truck/0/session/6/image/2723
4298,SW4305,FAIR,CONCRETE,E 10th ST,q4664,147.41,0.028,http://98.103.168.235/Bloomington/120317/3/Back/ladybug_panoramic_001151.jpg,http://98.103.168.235/serve/viewercurrent/viewer.html#/Bloomington/Back/date/120317/truck/0/session/3/image/1151,http://192.168.1.200/serve/viewercurrent/viewerInside.html#/Bloomington/Back/date/120317/truck/0/session/3/image/1151
4302,SW4309,GOOD,CONCRETE,E 10th ST,q4666,36.38,0.007,http://98.103.168.235/Bloomington/120317/3/Back/ladybug_panoramic_001172.jpg,http://98.103.168.235/serve/viewercurrent/viewer.html#/Bloomington/Back/date/120317/truck/0/session/3/image/1172,http://192.168.1.200/serve/viewercurrent/viewerInside.html#/Bloomington/Back/date/120317/truck/0/session/3/image/1172
4303,SW4310,GOOD,CONCRETE,E 10th ST,q4666,139.06,0.026,http://98.103.168.235/Bloomington/120317/3/Back/ladybug_panoramic_001181.jpg,http://98.103.168.235/serve/viewercurrent/viewer.html#/Bloomington/Back/date/120317/truck/0/session/3/image/1181,http://192.168.1.200/serve/viewercurrent/viewerInside.html#/Bloomington/Back/date/120317/truck/0/session/3/image/1181
4299,SW4306,FAIR,CONCRETE,E 10th ST,q4666,16.06,0.003,http://98.103.168.235/Bloomington/120317/3/Back/ladybug_panoramic_001173.jpg,http://98.103.168.235/serve/viewercurrent/viewer.html#/Bloomington/Back/date/120317/truck/0/session/3/image/1173,http://192.168.1.200/serve/viewercurrent/viewerInside.html#/Bloomington/Back/date/120317/truck/0/session/3/image/1173
4300,SW4307,FAIR,CONCRETE,E 10th ST,q4666,23.26,0.004,http://98.103.168.235/Bloomington/120317/3/Back/ladybug_panoramic_001170.jpg,http://98.103.168.235/serve/viewercurrent/viewer.html#/Bloomington/Back/date/120317/truck/0/session/3/image/1170,http://192.168.1.200/serve/viewercurrent/viewerInside.html#/Bloomington/Back/date/120317/truck/0/session/3/image/1170
4301,SW4308,FAIR,CONCRETE,E 10th ST,q4666,100.69,0.019,http://98.103.168.235/Bloomington/120317/3/Back/ladybug_panoramic_001168.jpg,http://98.103.168.235/serve/viewercurrent/viewer.html#/Bloomington/Back/date/120317/truck/0/session/3/image/1168,http://192.168.1.200/serve/viewercurrent/viewerInside.html#/Bloomington/Back/date/120317/truck/0/session/3/image/1168
5367,SW5376,FAIR,CONCRETE,E 10th ST,q4666,343.52,0.065,http://98.103.168.235/Bloomington/120717/5/Back/ladybug_panoramic_000064.jpg,http://98.103.168.235/serve/viewercurrent/viewer.html#/Bloomington/Back/date/120717/truck/0/session/5/image/64,http://192.168.1.200/serve/viewercurrent/viewerInside.html#/Bloomington/Back/date/120717/truck/0/session/5/image/64
4304,SW4311,GOOD,CONCRETE,E 10th ST,q4667,149.57,0.028,http://98.103.168.235/Bloomington/120317/3/Back/ladybug_panoramic_001185.jpg,http://98.103.168.235/serve/viewercurrent/viewer.html#/Bloomington/Back/date/120317/truck/0/session/3/image/1185,http://192.168.1.200/serve/viewercurrent/viewerInside.html#/Bloomington/Back/date/120317/truck/0/session/3/image/1185
5366,SW5375,GOOD,CONCRETE,E 10th ST,q4667,56.9,0.011,http://98.103.168.235/Bloomington/120517/6/Back/ladybug_panoramic_002677.jpg,http://98.103.168.235/serve/viewercurrent/viewer.html#/Bloomington/Back/date/120517/truck/0/session/6/image/2677,http://192.168.1.200/serve/viewercurrent/viewerInside.html#/Bloomington/Back/date/120517/truck/0/session/6/image/2677
4305,SW4312,FAIR,CONCRETE,E 10th ST,q4667,148.54,0.028,http://98.103.168.235/Bloomington/120317/3/Back/ladybug_panoramic_001203.jpg,http://98.103.168.235/serve/viewercurrent/viewer.html#/Bloomington/Back/date/120317/truck/0/session/3/image/1203,http://192.168.1.200/serve/viewercurrent/viewerInside.html#/Bloomington/Back/date/120317/truck/0/session/3/image/1203
5365,SW5374,FAIR,CONCRETE,E 10th ST,q4667,254.19,0.048,http://98.103.168.235/Bloomington/120517/6/Back/ladybug_panoramic_002668.jpg,http://98.103.168.235/serve/viewercurrent/viewer.html#/Bloomington/Back/date/120517/truck/0/session/6/image/2668,http://192.168.1.200/serve/viewercurrent/viewerInside.html#/Bloomington/Back/date/120517/truck/0/session/6/image/2668
4306,SW4313,GOOD,CONCRETE,E 10th ST,q4668,197.07,0.037,http://98.103.168.235/Bloomington/120317/3/Back/ladybug_panoramic_001220.jpg,http://98.103.168.235/serve/viewercurrent/viewer.html#/Bloomington/Back/date/120317/truck/0/session/3/image/1220,http://192.168.1.200/serve/viewercurrent/viewerInside.html#/Bloomington/Back/date/120317/truck/0/session/3/image/1220
5364,SW5373,GOOD,CONCRETE,E 10th ST,q4668,157.05,0.03,http://98.103.168.235/Bloomington/120517/6/Back/ladybug_panoramic_002656.jpg,http://98.103.168.235/serve/viewercurrent/viewer.html#/Bloomington/Back/date/120517/truck/0/session/6/image/2656,http://192.168.1.200/serve/viewercurrent/viewerInside.html#/Bloomington/Back/date/120517/truck/0/session/6/image/2656
5321,SW5330,GOOD,CONCRETE,E 10th ST,q4669,54.6,0.01,http://98.103.168.235/Bloomington/120517/6/Back/ladybug_panoramic_001051.jpg,http://98.103.168.235/serve/viewercurrent/viewer.html#/Bloomington/Back/date/120517/truck/0/session/6/image/1051,http://192.168.1.200/serve/viewercurrent/viewerInside.html#/Bloomington/Back/date/120517/truck/0/session/6/image/1051
5322,SW5331,GOOD,CONCRETE,E 10th ST,q4669,85.05,0.016,http://98.103.168.235/Bloomington/120517/6/Back/ladybug_panoramic_001056.jpg,http://98.103.168.235/serve/viewercurrent/viewer.html#/Bloomington/Back/date/120517/truck/0/session/6/image/1056,http://192.168.1.200/serve/viewercurrent/viewerInside.html#/Bloomington/Back/date/120517/truck/0/session/6/image/1056
5362,SW5371,FAIR,CONCRETE,E 10th ST,q4669,107.21,0.02,http://98.103.168.235/Bloomington/120517/6/Back/ladybug_panoramic_002638.jpg,http://98.103.168.235/serve/viewercurrent/viewer.html#/Bloomington/Back/date/120517/truck/0/session/6/image/2638,http://192.168.1.200/serve/viewercurrent/viewerInside.html#/Bloomington/Back/date/120517/truck/0/session/6/image/2638
5363,SW5372,FAIR,CONCRETE,E 10th ST,q4669,94.41,0.018,http://98.103.168.235/Bloomington/120517/6/Back/ladybug_panoramic_002646.jpg,http://98.103.168.235/serve/viewercurrent/viewer.html#/Bloomington/Back/date/120517/truck/0/session/6/image/2646,http://192.168.1.200/serve/viewercurrent/viewerInside.html#/Bloomington/Back/date/120517/truck/0/session/6/image/2646
5323,SW5332,GOOD,CONCRETE,E 10th ST,q4670,322.41,0.061,http://98.103.168.235/Bloomington/120517/6/Back/ladybug_panoramic_001073.jpg,http://98.103.168.235/serve/viewercurrent/viewer.html#/Bloomington/Back/date/120517/truck/0/session/6/image/1073,http://192.168.1.200/serve/viewercurrent/viewerInside.html#/Bloomington/Back/date/120517/truck/0/session/6/image/1073
5359,SW5368,GOOD,CONCRETE,E 10th ST,q4670,124.47,0.024,http://98.103.168.235/Bloomington/120517/6/Back/ladybug_panoramic_002622.jpg,http://98.103.168.235/serve/viewercurrent/viewer.html#/Bloomington/Back/date/120517/truck/0/session/6/image/2622,http://192.168.1.200/serve/viewercurrent/viewerInside.html#/Bloomington/Back/date/120517/truck/0/session/6/image/2622
5360,SW5369,GOOD,CONCRETE,E 10th ST,q4670,61.46,0.012,http://98.103.168.235/Bloomington/120517/6/Back/ladybug_panoramic_002627.jpg,http://98.103.168.235/serve/viewercurrent/viewer.html#/Bloomington/Back/date/120517/truck/0/session/6/image/2627,http://192.168.1.200/serve/viewercurrent/viewerInside.html#/Bloomington/Back/date/120517/truck/0/session/6/image/2627
5357,SW5366,GOOD,CONCRETE,E 10th ST,q4672,285.18,0.054,http://98.103.168.235/Bloomington/121217/3/Back/ladybug_panoramic_001040.jpg,http://98.103.168.235/serve/viewercurrent/viewer.html#/Bloomington/Back/date/121217/truck/0/session/3/image/1040,http://192.168.1.200/serve/viewercurrent/viewerInside.html#/Bloomington/Back/date/121217/truck/0/session/3/image/1040
5324,SW5333,FAIR,CONCRETE,E 10th ST,q4672,140.08,0.027,http://98.103.168.235/Bloomington/120517/6/Back/ladybug_panoramic_001091.jpg,http://98.103.168.235/serve/viewercurrent/viewer.html#/Bloomington/Back/date/120517/truck/0/session/6/image/1091,http://192.168.1.200/serve/viewercurrent/viewerInside.html#/Bloomington/Back/date/120517/truck/0/session/6/image/1091
5325,SW5334,FAIR,CONCRETE,E 10th ST,q4672,136.65,0.026,http://98.103.168.235/Bloomington/120517/6/Back/ladybug_panoramic_001096.jpg,http://98.103.168.235/serve/viewercurrent/viewer.html#/Bloomington/Back/date/120517/truck/0/session/6/image/1096,http://192.168.1.200/serve/viewercurrent/viewerInside.html#/Bloomington/Back/date/120517/truck/0/session/6/image/1096
5326,SW5335,FAIR,CONCRETE,E 10th ST,q4673,282.55,0.054,http://98.103.168.235/Bloomington/120517/6/Back/ladybug_panoramic_001105.jpg,http://98.103.168.235/serve/viewercurrent/viewer.html#/Bloomington/Back/date/120517/truck/0/session/6/image/1105,http://192.168.1.200/serve/viewercurrent/viewerInside.html#/Bloomington/Back/date/120517/truck/0/session/6/image/1105
5356,SW5365,FAIR,CONCRETE,E 10th ST,q4673,296.36,0.056,http://98.103.168.235/Bloomington/120317/3/Back/ladybug_panoramic_001699.jpg,http://98.103.168.235/serve/viewercurrent/viewer.html#/Bloomington/Back/date/120317/truck/0/session/3/image/1699,http://192.168.1.200/serve/viewercurrent/viewerInside.html#/Bloomington/Back/date/120317/truck/0/session/3/image/1699
5328,SW5337,GOOD,BRICK,E 10th ST,r4650,19.38,0.004,http://98.103.168.235/Bloomington/120317/3/Back/ladybug_panoramic_001258.jpg,http://98.103.168.235/serve/viewercurrent/viewer.html#/Bloomington/Back/date/120317/truck/0/session/3/image/1258,http://192.168.1.200/serve/viewercurrent/viewerInside.html#/Bloomington/Back/date/120317/truck/0/session/3/image/1258
5354,SW5363,GOOD,BRICK,E 10th ST,r4650,21.75,0.004,http://98.103.168.235/Bloomington/120517/6/Back/ladybug_panoramic_002551.jpg,http://98.103.168.235/serve/viewercurrent/viewer.html#/Bloomington/Back/date/120517/truck/0/session/6/image/2551,http://192.168.1.200/serve/viewercurrent/viewerInside.html#/Bloomington/Back/date/120517/truck/0/session/6/image/2551
5327,SW5336,GOOD,CONCRETE,E 10th ST,r4650,262.07,0.05,http://98.103.168.235/Bloomington/120317/3/Back/ladybug_panoramic_001253.jpg,http://98.103.168.235/serve/viewercurrent/viewer.html#/Bloomington/Back/date/120317/truck/0/session/3/image/1253,http://192.168.1.200/serve/viewercurrent/viewerInside.html#/Bloomington/Back/date/120317/truck/0/session/3/image/1253
5355,SW5364,GOOD,CONCRETE,E 10th ST,r4650,261.14,0.049,http://98.103.168.235/Bloomington/120517/6/Back/ladybug_panoramic_002557.jpg,http://98.103.168.235/serve/viewercurrent/viewer.html#/Bloomington/Back/date/120517/truck/0/session/6/image/2557,http://192.168.1.200/serve/viewercurrent/viewerInside.html#/Bloomington/Back/date/120517/truck/0/session/6/image/2557
5329,SW5338,GOOD,BRICK,E 10th ST,r4651,48.84,0.009,http://98.103.168.235/Bloomington/120517/6/Back/ladybug_panoramic_001148.jpg,http://98.103.168.235/serve/viewercurrent/viewer.html#/Bloomington/Back/date/120517/truck/0/session/6/image/1148,http://192.168.1.200/serve/viewercurrent/viewerInside.html#/Bloomington/Back/date/120517/truck/0/session/6/image/1148
5353,SW5362,GOOD,BRICK,E 10th ST,r4651,22.81,0.004,http://98.103.168.235/Bloomington/120517/6/Back/ladybug_panoramic_002546.jpg,http://98.103.168.235/serve/viewercurrent/viewer.html#/Bloomington/Back/date/120517/truck/0/session/6/image/2546,http://192.168.1.200/serve/viewercurrent/viewerInside.html#/Bloomington/Back/date/120517/truck/0/session/6/image/2546
5352,SW5361,GOOD,CONCRETE,E 10th ST,r4651,246.41,0.047,http://98.103.168.235/Bloomington/120717/4/Back/ladybug_panoramic_004754.jpg,http://98.103.168.235/serve/viewercurrent/viewer.html#/Bloomington/Back/date/120717/truck/0/session/4/image/4754,http://192.168.1.200/serve/viewercurrent/viewerInside.html#/Bloomington/Back/date/120717/truck/0/session/4/image/4754
6089,SW6103,FAIR,CONCRETE,E 10th ST,r4651,237.14,0.045,http://98.103.168.235/Bloomington/120517/6/Back/ladybug_panoramic_001162.jpg,http://98.103.168.235/serve/viewercurrent/viewer.html#/Bloomington/Back/date/120517/truck/0/session/6/image/1162,http://192.168.1.200/serve/viewercurrent/viewerInside.html#/Bloomington/Back/date/120517/truck/0/session/6/image/1162
5330,SW5339,FAIR,CONCRETE,E 10th ST,r4652,407.35,0.077,http://98.103.168.235/Bloomington/120517/6/Back/ladybug_panoramic_001184.jpg,http://98.103.168.235/serve/viewercurrent/viewer.html#/Bloomington/Back/date/120517/truck/0/session/6/image/1184,http://192.168.1.200/serve/viewercurrent/viewerInside.html#/Bloomington/Back/date/120517/truck/0/session/6/image/1184
5351,SW5360,POOR,CONCRETE,E 10th ST,r4652,355.74,0.067,http://98.103.168.235/Bloomington/120717/4/Back/ladybug_panoramic_004756.jpg,http://98.103.168.235/serve/viewercurrent/viewer.html#/Bloomington/Back/date/120717/truck/0/session/4/image/4756,http://192.168.1.200/serve/viewercurrent/viewerInside.html#/Bloomington/Back/date/120717/truck/0/session/4/image/4756
5350,SW5359,FAIR,CONCRETE,E 10th ST,r4653,506.99,0.096,http://98.103.168.235/Bloomington/120517/6/Back/ladybug_panoramic_002478.jpg,http://98.103.168.235/serve/viewercurrent/viewer.html#/Bloomington/Back/date/120517/truck/0/session/6/image/2478,http://192.168.1.200/serve/viewercurrent/viewerInside.html#/Bloomington/Back/date/120517/truck/0/session/6/image/2478
6088,SW6102,FAIR,CONCRETE,E 10th ST,r4653,511.13,0.097,http://98.103.168.235/Bloomington/120517/6/Back/ladybug_panoramic_001187.jpg,http://98.103.168.235/serve/viewercurrent/viewer.html#/Bloomington/Back/date/120517/truck/0/session/6/image/1187,http://192.168.1.200/serve/viewercurrent/viewerInside.html#/Bloomington/Back/date/120517/truck/0/session/6/image/1187
5347,SW5356,GOOD,CONCRETE,E 10th ST,r4654,309.58,0.059,http://98.103.168.235/Bloomington/121217/2/Back/ladybug_panoramic_004440.jpg,http://98.103.168.235/serve/viewercurrent/viewer.html#/Bloomington/Back/date/121217/truck/0/session/2/image/4440,http://192.168.1.200/serve/viewercurrent/viewerInside.html#/Bloomington/Back/date/121217/truck/0/session/2/image/4440
5348,SW5357,GOOD,CONCRETE,E 10th ST,r4654,93.75,0.018,http://98.103.168.235/Bloomington/120517/6/Back/ladybug_panoramic_002442.jpg,http://98.103.168.235/serve/viewercurrent/viewer.html#/Bloomington/Back/date/120517/truck/0/session/6/image/2442,http://192.168.1.200/serve/viewercurrent/viewerInside.html#/Bloomington/Back/date/120517/truck/0/session/6/image/2442
5349,SW5358,GOOD,CONCRETE,E 10th ST,r4654,453.15,0.086,http://98.103.168.235/Bloomington/121217/2/Back/ladybug_panoramic_004449.jpg,http://98.103.168.235/serve/viewercurrent/viewer.html#/Bloomington/Back/date/121217/truck/0/session/2/image/4449,http://192.168.1.200/serve/viewercurrent/viewerInside.html#/Bloomington/Back/date/121217/truck/0/session/2/image/4449
5331,SW5340,FAIR,CONCRETE,E 10th ST,r4654,888.39,0.168,http://98.103.168.235/Bloomington/120517/6/Back/ladybug_panoramic_001247.jpg,http://98.103.168.235/serve/viewercurrent/viewer.html#/Bloomington/Back/date/120517/truck/0/session/6/image/1247,http://192.168.1.200/serve/viewercurrent/viewerInside.html#/Bloomington/Back/date/120517/truck/0/session/6/image/1247
5332,SW5341,GOOD,CONCRETE,E 10th ST,r4655,425.32,0.081,http://98.103.168.235/Bloomington/120517/6/Back/ladybug_panoramic_001282.jpg,http://98.103.168.235/serve/viewercurrent/viewer.html#/Bloomington/Back/date/120517/truck/0/session/6/image/1282,http://192.168.1.200/serve/viewercurrent/viewerInside.html#/Bloomington/Back/date/120517/truck/0/session/6/image/1282
5346,SW5355,GOOD,CONCRETE,E 10th ST,r4655,488.95,0.093,http://98.103.168.235/Bloomington/120517/6/Back/ladybug_panoramic_002401.jpg,http://98.103.168.235/serve/viewercurrent/viewer.html#/Bloomington/Back/date/120517/truck/0/session/6/image/2401,http://192.168.1.200/serve/viewercurrent/viewerInside.html#/Bloomington/Back/date/120517/truck/0/session/6/image/2401
5333,SW5342,GOOD,CONCRETE,E 10th ST,s4614,368.49,0.07,http://98.103.168.235/Bloomington/120517/6/Back/ladybug_panoramic_001331.jpg,http://98.103.168.235/serve/viewercurrent/viewer.html#/Bloomington/Back/date/120517/truck/0/session/6/image/1331,http://192.168.1.200/serve/viewercurrent/viewerInside.html#/Bloomington/Back/date/120517/truck/0/session/6/image/1331
5345,SW5354,FAIR,CONCRETE,E 10th ST,s4614,330.53,0.063,http://98.103.168.235/Bloomington/120517/6/Back/ladybug_panoramic_002376.jpg,http://98.103.168.235/serve/viewercurrent/viewer.html#/Bloomington/Back/date/120517/truck/0/session/6/image/2376,http://192.168.1.200/serve/viewercurrent/viewerInside.html#/Bloomington/Back/date/120517/truck/0/session/6/image/2376
5334,SW5343,GOOD,CONCRETE,E 10th ST,s4615,808.44,0.153,http://98.103.168.235/Bloomington/120817/5/Back/ladybug_panoramic_000035.jpg,http://98.103.168.235/serve/viewercurrent/viewer.html#/Bloomington/Back/date/120817/truck/0/session/5/image/35,http://192.168.1.200/serve/viewercurrent/viewerInside.html#/Bloomington/Back/date/120817/truck/0/session/5/image/35
5340,SW5349,GOOD,CONCRETE,E 10th ST,s4615,139.02,0.026,http://98.103.168.235/Bloomington/120517/6/Back/ladybug_panoramic_002316.jpg,http://98.103.168.235/serve/viewercurrent/viewer.html#/Bloomington/Back/date/120517/truck/0/session/6/image/2316,http://192.168.1.200/serve/viewercurrent/viewerInside.html#/Bloomington/Back/date/120517/truck/0/session/6/image/2316
5341,SW5350,GOOD,CONCRETE,E 10th ST,s4615,45.31,0.009,http://98.103.168.235/Bloomington/120517/6/Back/ladybug_panoramic_002323.jpg,http://98.103.168.235/serve/viewercurrent/viewer.html#/Bloomington/Back/date/120517/truck/0/session/6/image/2323,http://192.168.1.200/serve/viewercurrent/viewerInside.html#/Bloomington/Back/date/120517/truck/0/session/6/image/2323
5342,SW5351,GOOD,CONCRETE,E 10th ST,s4615,51.22,0.01,http://98.103.168.235/Bloomington/120517/6/Back/ladybug_panoramic_002331.jpg,http://98.103.168.235/serve/viewercurrent/viewer.html#/Bloomington/Back/date/120517/truck/0/session/6/image/2331,http://192.168.1.200/serve/viewercurrent/viewerInside.html#/Bloomington/Back/date/120517/truck/0/session/6/image/2331
5343,SW5352,GOOD,CONCRETE,E 10th ST,s4615,154.69,0.029,http://98.103.168.235/Bloomington/120517/6/Back/ladybug_panoramic_002339.jpg,http://98.103.168.235/serve/viewercurrent/viewer.html#/Bloomington/Back/date/120517/truck/0/session/6/image/2339,http://192.168.1.200/serve/viewercurrent/viewerInside.html#/Bloomington/Back/date/120517/truck/0/session/6/image/2339
5344,SW5353,FAIR,CONCRETE,E 10th ST,s4615,204.27,0.039,http://98.103.168.235/Bloomington/120517/6/Back/ladybug_panoramic_002346.jpg,http://98.103.168.235/serve/viewercurrent/viewer.html#/Bloomington/Back/date/120517/truck/0/session/6/image/2346,http://192.168.1.200/serve/viewercurrent/viewerInside.html#/Bloomington/Back/date/120517/truck/0/session/6/image/2346
5335,SW5344,GOOD,CONCRETE,E 10th ST,s4616,107.58,0.02,http://98.103.168.235/Bloomington/120517/6/Back/ladybug_panoramic_001389.jpg,http://98.103.168.235/serve/viewercurrent/viewer.html#/Bloomington/Back/date/120517/truck/0/session/6/image/1389,http://192.168.1.200/serve/viewercurrent/viewerInside.html#/Bloomington/Back/date/120517/truck/0/session/6/image/1389
5336,SW5345,GOOD,CONCRETE,E 10th ST,s4616,191.24,0.036,http://98.103.168.235/Bloomington/120517/6/Back/ladybug_panoramic_001400.jpg,http://98.103.168.235/serve/viewercurrent/viewer.html#/Bloomington/Back/date/120517/truck/0/session/6/image/1400,http://192.168.1.200/serve/viewercurrent/viewerInside.html#/Bloomington/Back/date/120517/truck/0/session/6/image/1400
5337,SW5346,GOOD,CONCRETE,E 10th ST,s4616,227.06,0.043,http://98.103.168.235/Bloomington/120517/6/Back/ladybug_panoramic_001415.jpg,http://98.103.168.235/serve/viewercurrent/viewer.html#/Bloomington/Back/date/120517/truck/0/session/6/image/1415,http://192.168.1.200/serve/viewercurrent/viewerInside.html#/Bloomington/Back/date/120517/truck/0/session/6/image/1415
5338,SW5347,GOOD,CONCRETE,E 10th ST,s4616,476.14,0.09,http://98.103.168.235/Bloomington/120517/6/Back/ladybug_panoramic_002294.jpg,http://98.103.168.235/serve/viewercurrent/viewer.html#/Bloomington/Back/date/120517/truck/0/session/6/image/2294,http://192.168.1.200/serve/viewercurrent/viewerInside.html#/Bloomington/Back/date/120517/truck/0/session/6/image/2294
5339,SW5348,FAIR,CONCRETE,E 10th ST,s4616,121.37,0.023,http://98.103.168.235/Bloomington/120817/4/Back/ladybug_panoramic_004814.jpg,http://98.103.168.235/serve/viewercurrent/viewer.html#/Bloomington/Back/date/120817/truck/0/session/4/image/4814,http://192.168.1.200/serve/viewercurrent/viewerInside.html#/Bloomington/Back/date/120817/truck/0/session/4/image/4814
608,SW609,GOOD,CONCRETE,E 10th ST,s4617,87.46,0.017,http://98.103.168.235/Bloomington/120817/4/Back/ladybug_panoramic_003581.jpg,http://98.103.168.235/serve/viewercurrent/viewer.html#/Bloomington/Back/date/120817/truck/0/session/4/image/3581,http://192.168.1.200/serve/viewercurrent/viewerInside.html#/Bloomington/Back/date/120817/truck/0/session/4/image/3581
609,SW610,GOOD,CONCRETE,E 10th ST,s4617,106.54,0.02,http://98.103.168.235/Bloomington/120817/4/Back/ladybug_panoramic_003595.jpg,http://98.103.168.235/serve/viewercurrent/viewer.html#/Bloomington/Back/date/120817/truck/0/session/4/image/3595,http://192.168.1.200/serve/viewercurrent/viewerInside.html#/Bloomington/Back/date/120817/truck/0/session/4/image/3595
610,SW611,GOOD,CONCRETE,E 10th ST,t4617,612.16,0.116,http://98.103.168.235/Bloomington/120817/4/Back/ladybug_panoramic_003652.jpg,http://98.103.168.235/serve/viewercurrent/viewer.html#/Bloomington/Back/date/120817/truck/0/session/4/image/3652,http://192.168.1.200/serve/viewercurrent/viewerInside.html#/Bloomington/Back/date/120817/truck/0/session/4/image/3652
86,SW86,GOOD,CONCRETE,E 11th ST,q4732,154.55,0.029,http://98.103.168.235/Bloomington/120717/4/Back/ladybug_panoramic_004583.jpg,http://98.103.168.235/serve/viewercurrent/viewer.html#/Bloomington/Back/date/120717/truck/0/session/4/image/4583,http://192.168.1.200/serve/viewercurrent/viewerInside.html#/Bloomington/Back/date/120717/truck/0/session/4/image/4583
95,SW95,GOOD,CONCRETE,E 11th ST,q4749,131.06,0.025,http://98.103.168.235/Bloomington/121217/3/Back/ladybug_panoramic_001077.jpg,http://98.103.168.235/serve/viewercurrent/viewer.html#/Bloomington/Back/date/121217/truck/0/session/3/image/1077,http://192.168.1.200/serve/viewercurrent/viewerInside.html#/Bloomington/Back/date/121217/truck/0/session/3/image/1077
97,SW97,GOOD,CONCRETE,E 11th ST,q4749,139.95,0.027,http://98.103.168.235/Bloomington/120317/3/Back/ladybug_panoramic_001779.jpg,http://98.103.168.235/serve/viewercurrent/viewer.html#/Bloomington/Back/date/120317/truck/0/session/3/image/1779,http://192.168.1.200/serve/viewercurrent/viewerInside.html#/Bloomington/Back/date/120317/truck/0/session/3/image/1779
94,SW94,FAIR,CONCRETE,E 11th ST,q4749,127.94,0.024,http://98.103.168.235/Bloomington/120717/4/Back/ladybug_panoramic_004635.jpg,http://98.103.168.235/serve/viewercurrent/viewer.html#/Bloomington/Back/date/120717/truck/0/session/4/image/4635,http://192.168.1.200/serve/viewercurrent/viewerInside.html#/Bloomington/Back/date/120717/truck/0/session/4/image/4635
96,SW96,FAIR,CONCRETE,E 11th ST,q4749,144.05,0.027,http://98.103.168.235/Bloomington/120317/3/Back/ladybug_panoramic_001781.jpg,http://98.103.168.235/serve/viewercurrent/viewer.html#/Bloomington/Back/date/120317/truck/0/session/3/image/1781,http://192.168.1.200/serve/viewercurrent/viewerInside.html#/Bloomington/Back/date/120317/truck/0/session/3/image/1781
91,SW91,GOOD,CONCRETE,E 11th ST,q4750,159.64,0.03,http://98.103.168.235/Bloomington/120717/4/Back/ladybug_panoramic_004624.jpg,http://98.103.168.235/serve/viewercurrent/viewer.html#/Bloomington/Back/date/120717/truck/0/session/4/image/4624,http://192.168.1.200/serve/viewercurrent/viewerInside.html#/Bloomington/Back/date/120717/truck/0/session/4/image/4624
92,SW92,GOOD,CONCRETE,E 11th ST,q4750,100.79,0.019,http://98.103.168.235/Bloomington/120717/4/Back/ladybug_panoramic_004626.jpg,http://98.103.168.235/serve/viewercurrent/viewer.html#/Bloomington/Back/date/120717/truck/0/session/4/image/4626,http://192.168.1.200/serve/viewercurrent/viewerInside.html#/Bloomington/Back/date/120717/truck/0/session/4/image/4626
93,SW93,GOOD,CONCRETE,E 11th ST,q4750,335.5,0.064,http://98.103.168.235/Bloomington/121217/3/Back/ladybug_panoramic_000745.jpg,http://98.103.168.235/serve/viewercurrent/viewer.html#/Bloomington/Back/date/121217/truck/0/session/3/image/745,http://192.168.1.200/serve/viewercurrent/viewerInside.html#/Bloomington/Back/date/121217/truck/0/session/3/image/745
606,SW607,FAIR,CONCRETE,E 11th ST,q4750,23.91,0.005,http://98.103.168.235/Bloomington/120717/4/Back/ladybug_panoramic_004612.jpg,http://98.103.168.235/serve/viewercurrent/viewer.html#/Bloomington/Back/date/120717/truck/0/session/4/image/4612,http://192.168.1.200/serve/viewercurrent/viewerInside.html#/Bloomington/Back/date/120717/truck/0/session/4/image/4612
