DATE,CONTROL #,INVOICE #,BILLED TO,ADDRESS,STREET SIDE,SIDEWALK   CURB     MONO       H/C RAMP GUTTER   DRIVEWAY    STREET CUT,LENGTH IN FEET,WIDTH,# of Ramps,YARDS,Plates/Str,Plates/Radius,Unnamed Column,Unnamed Column 1,Unnamed Column 2,Unnamed Column 3,Unnamed Column 4,Unnamed Column 5,Unnamed Column 6,Unnamed Column 7,Unnamed Column 8,Unnamed Column 9,DATE INSPECTED,Unnamed Column 10
07/25/2018 12:00:00 AM,15817495,10589573,Street,1123 N Madison,SW Corner,Gutter,7,18,,0.5,,,,,,,,,,,,,,
07/25/2018 12:00:00 AM,15817495,10589573,Street,1201 N Madison,NE Corner,Gutter,8,16,,0.5,,,,,,,,,,,,,,
07/24/2018 12:00:00 AM,13039062,10588639,Street,410 W 15th Street,NW Corner,Gutter,9,18,,0.5,,,,,,,,,,,,,,
07/24/2018 12:00:00 AM,13039062,10588639,Street,1015 N Madison Street,SW Corner,Gutter,16,10,,0.5,,,,,,,,,,,,,,
08/02/2018 12:00:00 AM,15817740,10593538,Street,326 W Kenwood,NE Corner,Gutter,13,16,,0.5,,,,,,,,,,,,,,
08/06/2018 12:00:00 AM,13039486,10595350,Street,1218 N Madison,SE Corner,Gutter,12,12,,0.5,,,,,,,,,,,,,,
08/01/2018 12:00:00 AM,13039338,10592681,Street,1122 N Madison,SE Corner,Gutter,12,12,,0.5,,,,,,,,,,,,,,
08/09/2018 12:00:00 AM,13039555,10597257,Street,203 E 15th Street,NE Corner,Gutter,15,18,,0.5,,,,,,,,,,,,,,
08/13/2018 12:00:00 AM,15817985,10599018,Street,123 E 15th Street,NW Corner,Gutter,18,18,,0.5,,,,,,,,,,,,,,
08/14/2018 12:00:00 AM,15818014,10599875,Street,202 E 15th Street,SE Corner,Gutter,17,18,,0.5,,,,,,,,,,,,,,
08/21/2018 12:00:00 AM,13039777,10602372,Street,112 E 15th Street,SW Corner,Gutter,17,18,,0.5,,,,,,,,,,,,,,
08/22/2018 12:00:00 AM,13039803,10603124,Street,108 E 15th Street,,Gutter,37,16,,1,,,,,,,,,,,,,,
08/23/2018 12:00:00 AM,13039854,10604077,Street,110 E 15th Street,,Gutter,22,16,,0.5,,,,,,,,,,,,,,
09/04/2018 12:00:00 AM,13040105,10609514,Street,214 E 15th Street,,Gutter,37,18,,1,,,,,,,,,,,,,,
09/06/2018 12:00:00 AM,13040256,10611071,Street,321 E 15th Street,NW Corner,Gutter,5,18,,0.5,,,,,,,,,,,,,,
09/06/2018 12:00:00 AM,13040256,10611071,Street,1104 N Grant Street,NE Corner,Gutter,5,18,,0.5,,,,,,,,,,,,,,
08/28/2018 12:00:00 AM,13039973,10606504,Street,321 E 14th Street,NE Corner,Gutter,17,16,,0.5,,,,,,,,,,,,,,
08/28/2018 12:00:00 AM,13039973,10606504,Street,321 E 15th Street,SE Corner,Gutter,17,16,,0.5,,,,,,,,,,,,,,
08/30/2018 12:00:00 AM,15818344,10607920,Street,1101 N Lincoln Street,NW Corner,Gutter,17,16,,0.5,,,,,,,,,,,,,,
08/30/2018 12:00:00 AM,15818344,10607920,Street,1015 N Lincoln Street,SE Corner,Gutter,18,15,,0.5,,,,,,,,,,,,,,
09/20/2018 12:00:00 AM,13040543,10618652,Street,421 E 15th Street,NE Corner,Gutter,16,16,,0.5,,,,,,,,,,,,,,
09/26/2018 12:00:00 AM,15818727,10620820,Street,426 E 15th Street,SW Corner,Gutter,21,16,,0.5,,,,,,,,,,,,,,
10/08/2018 12:00:00 AM,15819022,10627370,Street,1514 E Elliston Drive,same,Gutter,90,3,,4,,,,,,,,,,,,,,
10/09/2018 12:00:00 AM,15819060,10628211,Street,1514 E Elliston Drive,same,Gutter,100,,,4.5,,,,,,,,,,,,,,
10/05/2018 12:00:00 AM,15818974,10626579,Street,1504 E Ellison Drive,same,Gutter,50,3,,2,,,,,,,,,,,,,,
11/07/2018 12:00:00 AM,13041501,10643278,Street,730 W Howe Street,Maple,Gutter,126,18,,1.5,,,,,,,,,,,,,,
03/07/2018 12:00:00 AM,13714473,10523188,Street,E. 2nd Street & S High Street,NE Corner,Mono,12,6,,1,,,,,,,,,,,,,,
03/13/2018 12:00:00 AM,13714636,10524985,Street,2106 E 2nd Street,SE Corner,Mono,60,5,,6,,,,,,,,,,,,,,
05/31/2018 12:00:00 AM,15816228,10559591,Street,2864 E. Buick Cadillac Rd,SW Corner,Mono,10,6,,1,,,,,,,,,,,,,,
05/31/2018 12:00:00 AM,15816228,10559591,Street,2864 E. Buick Cadillac Rd,SE Corner,Mono,6,6,,1,,,,,,,,,,,,,,
